pmid	query	search_type	page	covid
32436697	Baclofen	relevance	1	False
32757504	Baclofen	relevance	1	False
8143075	Baclofen	relevance	1	False
27591736	Baclofen	relevance	1	False
911241	Baclofen	relevance	1	False
34106538	Baclofen	relevance	1	False
17918529	Baclofen	relevance	1	False
24751117	Baclofen	relevance	1	False
32045501	Baclofen	relevance	2	False
8959459	Baclofen	relevance	2	False
8329801	Baclofen	relevance	2	False
1516073	Baclofen	relevance	2	False
31094129	Baclofen	relevance	2	False
22989277	Baclofen	relevance	2	False
32146727	Baclofen	relevance	2	False
24926632	Baclofen	relevance	2	False
33629349	Baclofen	relevance	2	False
7852758	Baclofen	relevance	2	False
35321248	Bartonella henselae	pubdate_desc	1	False
35351795	Bartonella henselae	pubdate_desc	1	False
35584856	Bartonella henselae	pubdate_desc	1	False
35549887	Bartonella henselae	pubdate_desc	1	False
35545848	Bartonella henselae	pubdate_desc	1	False
35508269	Bartonella henselae	pubdate_desc	1	False
35308575	Bartonella henselae	pubdate_desc	1	False
33610587	Bartonella henselae	pubdate_desc	1	False
28613624	Bartonella henselae	pubdate_desc	1	
35544635	Bartonella henselae	pubdate_desc	1	False
35500593	Bartonella henselae	pubdate_desc	2	False
35379004	Bartonella henselae	pubdate_desc	2	False
35262411	Bartonella henselae	pubdate_desc	2	False
35450442	Bartonella henselae	pubdate_desc	2	False
35446822	Bartonella henselae	pubdate_desc	2	False
35435766	Bartonella henselae	pubdate_desc	2	False
35498750	Bartonella henselae	pubdate_desc	2	False
35385154	Bartonella henselae	pubdate_desc	2	False
35145008	Bartonella henselae	pubdate_desc	2	False
28846267	Bartonella henselae	pubdate_desc	2	
32819774	Bartonella henselae	relevance	1	False
20973657	Bartonella henselae	relevance	1	False
34486526	Bartonella henselae	relevance	1	False
31885244	Bartonella henselae	relevance	1	False
20042306	Bartonella henselae	relevance	1	False
33207065	Bartonella henselae	relevance	1	False
29519505	Bartonella henselae	relevance	1	False
29664374	Bartonella henselae	relevance	1	False
26066633	Bartonella henselae	relevance	1	False
28490714	Bartonella henselae	relevance	1	False
19010441	Bartonella henselae	relevance	2	False
11008109	Bartonella henselae	relevance	2	False
34224716	Bartonella henselae	relevance	2	False
29729679	Bartonella henselae	relevance	2	False
31451567	Bartonella henselae	relevance	2	False
30995436	Bartonella henselae	relevance	2	False
30902757	Bartonella henselae	relevance	2	False
24151576	Bartonella henselae	relevance	2	False
11458191	Bartonella henselae	relevance	2	False
28669017	Bartonella henselae	relevance	2	False
35247234	Bickerstaff's encephalitis	pubdate_desc	1	False
35604574	Bickerstaff's encephalitis	pubdate_desc	1	False
35605654	Bickerstaff's encephalitis	pubdate_desc	1	False
35435761	Bickerstaff's encephalitis	pubdate_desc	1	False
35416870	Bickerstaff's encephalitis	pubdate_desc	1	False
35307038	Bickerstaff's encephalitis	pubdate_desc	1	True
35291547	Bickerstaff's encephalitis	pubdate_desc	1	False
35110279	Bickerstaff's encephalitis	pubdate_desc	1	False
34998626	Bickerstaff's encephalitis	pubdate_desc	1	False
35263942	Bickerstaff's encephalitis	pubdate_desc	1	False
35002947	Bickerstaff's encephalitis	pubdate_desc	2	True
34808652	Bickerstaff's encephalitis	pubdate_desc	2	False
34521589	Bickerstaff's encephalitis	pubdate_desc	2	False
34880859	Bickerstaff's encephalitis	pubdate_desc	2	False
34567402	Bickerstaff's encephalitis	pubdate_desc	2	False
34487633	Bickerstaff's encephalitis	pubdate_desc	2	False
34747822	Bickerstaff's encephalitis	pubdate_desc	2	False
34125157	Bickerstaff's encephalitis	pubdate_desc	2	False
32843214	Bickerstaff's encephalitis	pubdate_desc	2	False
34571840	Bickerstaff's encephalitis	pubdate_desc	2	False
25080547	Bickerstaff's encephalitis	relevance	1	False
33378029	Bickerstaff's encephalitis	relevance	1	False
30132464	Bickerstaff's encephalitis	relevance	1	False
22984203	Bickerstaff's encephalitis	relevance	1	False
33446327	Bickerstaff's encephalitis	relevance	1	True
34258953	Bickerstaff's encephalitis	relevance	1	False
32948528	Bickerstaff's encephalitis	relevance	1	False
32642763	Bickerstaff's encephalitis	relevance	1	False
16163580	Bickerstaff's encephalitis	relevance	1	False
32547252	Bickerstaff's encephalitis	relevance	1	False
25072194	Bickerstaff's encephalitis	relevance	2	False
5934116	Bickerstaff's encephalitis	relevance	2	False
22622843	Bickerstaff's encephalitis	relevance	2	False
32880723	Bickerstaff's encephalitis	relevance	2	True
33490740	Bickerstaff's encephalitis	relevance	2	False
33992070	Bickerstaff's encephalitis	relevance	2	False
16099076	Bickerstaff's encephalitis	relevance	2	False
32843214	Bickerstaff's encephalitis	relevance	2	False
9742879	Bickerstaff's encephalitis	relevance	2	False
34567402	Bickerstaff's encephalitis	relevance	2	False
35604095	Bordetella pertussis	pubdate_desc	1	False
35589788	Bordetella pertussis	pubdate_desc	1	False
35577904	Bordetella pertussis	pubdate_desc	1	False
35552562	Bordetella pertussis	pubdate_desc	1	False
35599039	Bordetella pertussis	pubdate_desc	1	True
35543837	Bordetella pertussis	pubdate_desc	1	False
35543519	Bordetella pertussis	pubdate_desc	1	False
35538127	Bordetella pertussis	pubdate_desc	1	False
35045177	Bordetella pertussis	pubdate_desc	1	False
35447067	Bordetella pertussis	pubdate_desc	1	False
35311902	Bordetella pertussis	pubdate_desc	2	False
35442946	Bordetella pertussis	pubdate_desc	2	False
35277883	Bordetella pertussis	pubdate_desc	2	False
35248703	Bordetella pertussis	pubdate_desc	2	False
35093999	Bordetella pertussis	pubdate_desc	2	False
35476597	Bordetella pertussis	pubdate_desc	2	False
35357202	Bordetella pertussis	pubdate_desc	2	False
35311520	Bordetella pertussis	pubdate_desc	2	False
35493458	Bordetella pertussis	pubdate_desc	2	False
35395059	Bordetella pertussis	pubdate_desc	2	False
31088927	Bordetella pertussis	relevance	1	False
26932577	Bordetella pertussis	relevance	1	False
27337481	Bordetella pertussis	relevance	1	False
26374235	Bordetella pertussis	relevance	1	False
33310117	Bordetella pertussis	relevance	1	False
24103807	Bordetella pertussis	relevance	1	False
26297914	Bordetella pertussis	relevance	1	False
19538113	Bordetella pertussis	relevance	1	False
18483643	Bordetella pertussis	relevance	1	False
2575308	Bordetella pertussis	relevance	1	False
2903539	Bordetella pertussis	relevance	2	False
28513461	Bordetella pertussis	relevance	2	False
24199799	Bordetella pertussis	relevance	2	False
31329091	Bordetella pertussis	relevance	2	False
30882726	Bordetella pertussis	relevance	2	False
11111902	Bordetella pertussis	relevance	2	False
10600186	Bordetella pertussis	relevance	2	False
11414122	Bordetella pertussis	relevance	2	False
10635801	Bordetella pertussis	relevance	2	False
30161230	Bordetella pertussis	relevance	2	False
35416707	Borrelia burgdorferi	pubdate_desc	1	False
35411829	Borrelia burgdorferi	pubdate_desc	1	False
34991433	Borrelia burgdorferi	pubdate_desc	1	False
35608612	Borrelia burgdorferi	pubdate_desc	1	False
35347426	Borrelia burgdorferi	pubdate_desc	1	False
35171539	Borrelia burgdorferi	pubdate_desc	1	False
35006444	Borrelia burgdorferi	pubdate_desc	1	False
35416705	Borrelia burgdorferi	pubdate_desc	1	False
35583265	Borrelia burgdorferi	pubdate_desc	1	False
